City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
0,Cherskiy,68.75,161.3,20.68,94,100,9.46,RU,2022-05-08 19:39:41,light snow
1,Camana,-16.6228,-72.7111,70.47,73,52,10.63,PE,2022-05-08 19:39:42,broken clouds
2,Sakakah,29.9697,40.2064,71.17,16,51,7.02,SA,2022-05-08 19:39:42,broken clouds
3,Seia,40.4151,-7.7086,62.1,62,6,1.9,PT,2022-05-08 19:39:43,clear sky
4,Belmonte,-15.8631,-38.8828,75.92,85,90,10.69,BR,2022-05-08 19:39:43,overcast clouds
5,Kurayoshi,35.4333,133.8167,54.23,70,100,7.36,JP,2022-05-08 19:39:44,overcast clouds
6,Vanavara,60.34,102.2797,25.97,88,100,10.13,RU,2022-05-08 19:39:45,overcast clouds
7,Waitara,-38.925,174.25,64.49,81,100,15.26,NZ,2022-05-08 19:39:45,overcast clouds
8,Rincon,32.296,-81.2354,72.86,56,75,5.75,US,2022-05-08 19:39:46,broken clouds
9,Korem,12.5058,39.5228,60.39,58,1,2.1,ET,2022-05-08 19:39:46,clear sky
10,Arman,59.7,150.1667,34.75,78,81,4.25,RU,2022-05-08 19:39:47,broken clouds
11,Punta Alta,-38.8759,-62.0736,73.24,39,0,9.44,AR,2022-05-08 19:39:47,clear sky
12,Kudahuvadhoo,2.6708,72.8944,84.29,78,100,19.42,MV,2022-05-08 19:39:48,light rain
13,Penzance,50.1186,-5.5371,52.48,89,100,12.91,GB,2022-05-08 19:39:49,overcast clouds
14,Hualmay,-11.0964,-77.6139,69.71,76,74,9.6,PE,2022-05-08 19:38:44,broken clouds
15,Victor Harbor,-35.5667,138.6167,49.68,74,48,6.58,AU,2022-05-08 19:35:26,scattered clouds
16,Talaya,61.3833,152.75,22.57,86,46,5.39,RU,2022-05-08 19:39:50,scattered clouds
17,Kathmandu,27.7167,85.3167,64.62,94,75,3.44,NP,2022-05-08 19:36:51,broken clouds
18,Najran,17.4924,44.1277,84.85,16,1,3.94,SA,2022-05-08 19:39:50,clear sky
19,Dukat,62.55,155.55,23.25,88,5,6.24,RU,2022-05-08 19:39:51,clear sky
20,Ixtapa,20.7,-105.2,79.83,69,0,10.36,MX,2022-05-08 19:35:44,clear sky
21,Emba,48.8264,58.1442,53.94,34,93,17.38,KZ,2022-05-08 19:39:52,overcast clouds
22,Tautira,-17.7333,-149.15,80.91,79,50,11.16,PF,2022-05-08 19:39:52,scattered clouds
23,Maniwaki,46.3834,-75.966,66.58,15,0,6.91,CA,2022-05-08 19:39:00,clear sky
24,Prince Rupert,54.3161,-130.3201,50.09,74,20,13.8,CA,2022-05-08 19:39:45,few clouds
25,Pafos,34.7667,32.4167,65.98,45,0,4.61,CY,2022-05-08 19:39:53,clear sky
26,Akdepe,42.0551,59.3788,77.09,64,100,6.67,TM,2022-05-08 19:39:54,light rain
27,Giubega,44.1167,23.4167,59.14,50,53,7.47,RO,2022-05-08 19:39:55,broken clouds
28,Bama,11.5221,13.6856,96.21,23,86,3.87,NG,2022-05-08 19:39:55,overcast clouds
29,Kaeo,-35.1,173.7833,56.32,96,96,7.16,NZ,2022-05-08 19:39:56,overcast clouds
30,Veseloyarsk,51.2836,81.1056,42.04,37,6,4.68,RU,2022-05-08 19:39:56,clear sky
31,Rawlins,41.7911,-107.2387,53.35,40,100,0.0,US,2022-05-08 19:39:57,overcast clouds
32,Qandala,11.472,49.8728,85.66,62,3,3.09,SO,2022-05-08 19:39:57,clear sky
33,Bajram Curri,42.3554,20.0784,56.66,81,97,3.0,AL,2022-05-08 19:39:58,overcast clouds
34,Makakilo City,21.3469,-158.0858,79.12,60,75,16.11,US,2022-05-08 19:38:20,broken clouds
35,Muros,42.7762,-9.0603,68.16,55,37,3.38,ES,2022-05-08 19:39:58,scattered clouds
36,Cochrane,51.1834,-114.4687,47.03,53,100,12.66,CA,2022-05-08 19:35:25,overcast clouds
37,Charlestown,-32.95,151.6667,53.73,93,38,1.01,AU,2022-05-08 19:37:58,scattered clouds
38,Lompoc,34.6391,-120.4579,73.56,58,0,32.01,US,2022-05-08 19:39:04,clear sky
39,Dovolnoye,54.4958,79.6671,42.8,70,64,2.37,RU,2022-05-08 19:40:00,broken clouds
40,Nanortalik,60.1432,-45.2371,37.22,89,100,1.95,GL,2022-05-08 19:40:00,overcast clouds
